id;garden_id;chicken_id;price
148;75;33;10.97
149;75;14;14.86
150;76;38;14.63
151;76;8;12.28
152;76;28;16.74
153;77;28;13.84
154;77;7;12.85
155;78;27;11.24
156;78;7;15.75
157;79;31;13.97
158;80;28;15.43
159;80;38;14.72
160;81;41;13.54
161;81;8;11.79
162;82;36;15.04
163;82;38;13.57
164;82;41;11.74
165;83;40;11.59
166;84;3;10.69
167;85;22;10.59
168;86;5;16.77
169;86;21;11.05
170;87;16;13.23
171;88;9;10.71
172;89;14;12.89
173;89;36;15.72
174;90;13;13.69
175;90;24;11.49
176;90;4;11.59
177;91;16;13.96
178;92;29;15.2
179;92;18;12.24
180;92;6;16.95
181;93;20;14.95
182;94;5;10.84
183;94;42;10.25
184;94;18;10.59
185;95;12;16.63
186;96;43;15.54
187;96;1;15.65
188;96;13;16.99
189;97;29;14.28
190;97;33;14.92
191;98;19;14.42
192;98;35;10.67
193;99;26;11.02
194;100;37;16.61
195;100;1;11.74
196;101;10;10.14
197;102;28;13.66
198;102;21;12.27
199;102;39;11.08
200;103;7;16.6
201;103;10;15.36
202;103;17;13.99
203;104;18;11.57
204;104;11;13.91
205;105;2;13.15
206;105;5;17.0
207;106;8;15.29
208;107;28;14.8
209;107;38;12.35
210;108;2;16.82
211;108;34;13.96
212;109;36;11.77
213;109;32;11.0
214;110;35;15.81
215;110;9;15.09
216;110;22;12.62
217;111;5;11.12
218;111;15;16.63
219;111;10;10.3
220;112;10;10.09
221;113;20;11.49
222;113;26;11.07
223;114;39;12.94
224;114;7;16.07
225;114;36;13.9
226;115;26;15.66
227;115;30;15.4
228;115;7;12.58
229;116;14;12.54
230;116;39;16.18
231;117;9;14.7
232;117;3;11.5
233;117;15;16.51
234;118;24;12.28
235;118;21;12.9
236;119;11;11.65
237;119;12;12.42
238;120;38;16.17
239;120;17;11.85
240;121;22;10.66
241;121;43;14.52
242;122;22;12.03
243;123;3;10.16
244;123;10;16.03
245;123;6;14.25
246;124;33;10.52
247;124;37;16.47
248;125;19;16.69
249;125;33;14.36
250;125;29;10.0
251;126;24;16.81
252;126;38;15.76
253;126;13;13.79
254;127;43;12.14
255;128;43;15.09
256;128;10;10.26
257;128;11;13.34
258;129;40;13.76
259;129;26;12.44
260;129;34;15.96
261;130;38;12.21
262;130;42;12.11
263;130;7;13.42
264;131;32;13.03
265;131;40;11.39
266;131;29;16.75
267;132;13;15.18
268;132;3;13.95
269;132;33;16.32
270;133;35;10.92
271;134;26;15.45
272;134;8;14.11
273;135;26;13.29
274;136;5;14.06
275;137;16;16.43
276;137;18;14.45
277;138;42;12.1
278;138;35;10.97
279;138;4;12.39
280;139;37;11.56
281;139;3;10.95
282;139;4;14.16
283;140;33;10.87
284;140;18;13.61
285;141;34;14.28
286;141;14;12.13
287;142;10;14.13
288;142;15;11.81
289;142;8;15.33
290;143;2;14.43
291;143;25;14.23
292;144;24;11.23
293;144;20;13.83
294;145;30;12.47
295;145;35;15.61
296;145;17;15.7
297;146;33;13.12
298;146;29;10.4
299;146;34;14.87
300;147;16;12.43
301;147;23;11.36
302;148;30;15.42
303;148;35;12.98
304;149;5;11.22
305;150;25;11.72
306;150;16;13.99
307;151;40;10.2
308;151;22;14.62
309;152;2;14.38
310;152;25;12.82
311;152;40;11.72
312;153;21;10.46
313;154;3;12.3
314;154;24;12.36
315;154;13;11.79
316;155;4;11.48
317;156;20;14.62
318;157;13;10.83
319;157;18;10.21
320;158;33;10.94
321;159;11;13.21
322;159;43;11.12
323;160;25;11.37
324;161;27;10.71
325;161;10;14.57
326;162;16;13.28
327;162;38;16.04
328;162;13;16.61
329;163;40;10.53
330;164;2;11.62
331;164;25;15.81
332;165;2;14.27
333;165;40;10.77
334;166;20;13.4
335;167;39;10.72
336;168;25;10.58
337;168;7;16.05
338;168;37;13.3
339;169;30;11.11
340;170;42;11.52
341;171;8;12.61
342;172;38;13.76
343;173;1;11.97
344;173;31;14.03
345;174;4;12.75
346;174;37;13.33
347;175;35;15.1
348;176;14;12.86
349;176;4;15.68
350;177;11;13.86
351;178;10;12.51
352;179;32;11.66
353;180;25;12.45
354;181;43;14.11
355;182;43;15.12
356;182;2;10.5
357;183;35;13.5
358;183;14;15.03
359;183;12;10.92
360;184;16;13.57
361;185;16;11.33
362;186;2;11.79
363;186;43;10.7
364;186;18;12.94
365;187;33;15.4
366;187;1;16.36
367;188;19;16.58
368;189;35;15.8
369;190;21;15.87
370;191;20;15.79
371;191;3;16.38
372;191;5;10.86
373;192;35;11.84
374;192;15;12.6
375;192;11;12.97
376;193;10;16.52
377;193;9;14.51
378;194;22;16.76
379;194;12;11.92
380;194;1;14.0
381;195;37;15.23
382;195;27;13.81
383;196;43;11.84
384;196;7;14.52
385;196;42;14.38
386;197;3;14.74
387;198;23;13.77
388;199;13;11.0
389;199;18;12.15
390;200;10;13.48
391;201;35;13.01
392;201;24;11.51
393;202;40;11.52
394;203;43;13.51
395;204;6;11.02
396;204;31;10.83
397;205;15;16.15
398;206;5;13.57
399;206;3;12.03
400;207;9;16.13
401;208;10;13.93
402;208;1;15.93
403;208;2;13.36
404;209;8;15.52
405;210;5;11.52
406;210;9;12.09
407;211;23;12.81
408;211;15;13.16
409;211;35;12.91
410;212;35;13.99
411;212;28;12.77
412;213;9;12.74
413;213;33;11.4
414;213;26;13.15
415;214;6;15.25
416;214;43;13.69
417;214;28;13.84
418;215;8;15.63
419;215;36;15.23
420;215;21;11.91
421;216;8;13.54
422;216;11;12.44
423;216;1;13.9
424;217;11;14.4
425;218;41;10.52
426;219;7;11.08
427;219;18;15.4
428;219;34;13.21
429;220;30;13.85
430;220;35;10.88
431;221;25;13.57
432;222;12;12.13
433;222;32;11.86
434;223;25;16.47
435;224;8;16.57
436;225;28;10.02
437;225;40;11.49
438;226;16;13.75
439;226;28;14.42
440;226;32;10.86
441;227;4;12.24
442;227;10;10.51
443;228;2;16.1
444;228;31;15.4
445;229;30;13.67
446;230;6;16.56
447;230;30;10.76
448;231;24;13.94
449;232;10;11.82
450;233;38;12.92
451;234;10;12.71
452;234;34;12.16
453;235;37;11.93
454;235;1;14.5
455;235;21;11.63
456;236;32;15.33
457;237;35;11.46
458;237;26;11.9
459;238;12;14.37
460;238;13;10.99
461;239;23;11.36
462;239;26;16.42
463;239;20;13.63
464;240;20;10.34
465;241;36;14.05
466;241;1;13.1
467;241;41;11.2
468;242;24;11.82
469;242;33;16.13
470;243;43;12.51
471;243;34;12.08
472;243;22;11.93
473;244;43;16.19
474;244;4;16.02
475;245;36;14.78
476;245;37;11.76
477;245;18;13.25
478;246;12;10.63
479;246;34;13.01
480;247;29;16.66
481;248;2;15.79
482;248;20;15.5
483;249;28;12.67
484;250;9;10.72
485;251;11;12.98
486;252;35;10.78
487;252;22;10.97
488;253;33;15.46
489;253;32;12.89
490;254;38;13.41
491;255;8;11.49
492;255;24;13.99
493;256;13;12.55
494;256;35;11.36
495;256;9;16.22
496;257;43;13.54
497;257;34;12.57
498;258;38;16.24
499;259;9;10.15
500;259;27;16.43
501;259;4;14.07
502;260;11;10.61
503;261;38;16.7
504;261;29;13.19
505;261;4;15.99
506;262;29;13.94
507;262;17;12.98
508;263;10;11.22
509;264;31;16.14
510;265;3;16.26
511;266;20;12.55
512;267;29;15.52
513;268;42;10.93
514;268;10;12.82
515;268;20;14.99
516;269;2;13.75
517;270;28;13.93
518;271;23;13.59
519;271;11;12.56
520;272;7;10.77
521;273;23;13.79
522;274;34;12.91
523;274;26;13.49
524;275;27;11.79
525;275;39;13.36
526;276;14;13.46
527;276;26;11.53
528;276;29;15.45
529;277;8;13.95
530;278;20;14.0
531;278;40;14.46
532;278;22;13.7
533;279;24;15.9
534;279;33;11.24
535;280;25;11.5
536;280;39;11.0
537;280;16;12.76
538;281;15;11.95
539;281;26;14.34
540;282;7;12.9
541;282;40;16.81
542;283;25;14.52
543;283;4;16.02
544;283;16;13.53
545;284;1;16.12
546;284;25;14.51
547;284;37;14.43
548;285;39;14.84
549;285;29;16.91
550;285;2;11.39
551;286;31;11.91
552;286;5;10.67
553;286;19;12.66
554;287;9;11.8
555;287;14;13.6
556;288;40;15.3
557;289;19;15.02
558;290;23;10.96
559;290;13;16.41
560;290;17;16.95
561;291;34;14.78
562;291;35;11.31
563;291;43;14.11
564;292;1;12.74
565;292;29;11.74
566;293;34;11.9
567;294;39;12.59
568;294;31;14.03
569;295;29;12.56
570;295;38;10.79
571;296;12;14.7
572;296;16;10.34
573;297;43;15.84
574;297;18;13.83
575;297;26;15.59
576;298;22;16.0
577;298;20;16.33
578;298;33;11.98
579;299;18;13.05
580;299;15;11.19
581;299;11;13.78
582;300;43;14.99
583;300;2;13.28
584;301;28;14.45
585;301;31;14.06
586;302;39;10.88
587;302;37;10.83
588;302;12;10.43
589;303;4;14.04
590;303;22;12.08
591;304;40;14.64
592;305;15;10.4
593;305;26;16.45
594;305;30;15.03
595;306;31;14.33
596;307;24;12.54
597;308;2;14.17
598;308;24;13.35
599;308;14;16.22
600;309;42;11.27
601;310;1;12.84
602;311;34;10.67
603;312;11;13.2
604;312;24;12.31
605;313;27;15.39
606;314;36;10.1
607;314;29;13.89
608;315;40;13.16
609;315;4;16.49
610;315;18;11.17
611;316;37;10.91
612;316;38;10.86
613;317;4;13.52
614;318;39;15.14
615;318;32;11.99
616;319;31;14.25
617;319;33;15.97
618;319;15;15.23
619;320;41;10.28
620;321;41;15.74
621;321;22;12.87
622;322;29;11.09
623;323;37;15.69
624;323;12;14.04
625;324;37;15.35
626;324;6;15.29
627;325;34;15.6
628;325;3;14.79
629;326;12;14.47
630;327;43;14.64
631;327;39;16.3
632;327;30;14.67
633;328;41;16.89
634;328;14;13.95
635;329;21;14.7
636;329;5;11.96
637;329;23;14.57
638;330;42;14.34
639;330;39;11.05
640;331;3;14.01
641;332;15;12.12
642;332;33;14.81
643;332;2;12.44
644;333;5;15.3
645;334;13;13.06
646;335;43;16.7
647;335;25;11.94
648;335;13;11.03
649;336;6;13.19
650;337;9;14.73
651;338;30;13.45
652;338;18;13.06
653;339;6;15.32
654;339;2;10.29
655;339;29;10.48
656;340;34;11.53
657;340;24;15.67
658;340;8;12.69
659;341;12;13.93
660;341;18;10.72
661;341;19;16.1
662;342;22;10.39
663;343;42;10.16
664;344;32;12.65
665;344;37;12.62
666;345;29;11.65
667;346;1;12.62
668;346;6;11.42
669;347;11;11.88
670;348;14;13.75
671;348;19;16.86
672;349;6;10.35
673;350;23;13.41
674;351;43;16.92
675;351;9;15.88
676;352;10;16.31
677;352;32;13.47
678;352;17;15.78
679;353;38;16.8
680;353;21;14.46
681;354;27;10.92
682;354;17;13.35
683;355;7;15.89
684;355;3;16.24
685;356;10;13.7
686;357;21;15.42
687;357;23;15.86
688;358;41;12.74
689;358;8;11.89
690;359;10;11.68
691;359;26;13.21
692;359;6;12.97
693;360;33;11.32
694;360;4;11.29
695;360;14;11.99
696;361;31;16.15
697;362;1;11.5
698;363;24;13.22
699;363;31;11.82
700;363;21;10.8
701;364;7;10.34
702;364;36;13.91
703;365;9;12.88
704;365;25;13.28
705;365;7;14.69
706;366;37;16.74
707;366;3;14.37
708;367;29;15.64
709;368;3;12.69
710;368;19;14.13
711;368;35;11.12
712;369;20;10.71
713;370;37;11.52
714;371;7;14.23
715;372;27;14.68
716;372;19;14.6
717;373;39;16.41
718;373;42;12.13
719;374;23;14.22
720;374;34;11.01
721;374;13;12.81
722;375;30;11.8
723;375;24;15.5
724;375;8;13.43
725;376;31;11.52
726;376;21;12.75
727;376;7;15.85
728;377;7;16.96
729;377;20;15.41
730;378;21;15.47
731;379;25;11.78
732;380;30;15.72
733;380;40;12.6
734;380;29;14.62
735;381;5;10.32
736;382;18;11.64
737;383;18;10.08
738;383;28;15.37
739;384;18;13.62
740;384;36;16.0
741;385;43;11.1
742;385;35;13.99
743;386;6;14.84
744;386;39;11.07
745;386;33;11.42
746;387;29;11.54
747;387;5;12.7
748;387;35;11.51
749;388;39;12.56
750;388;41;13.97
751;388;40;16.45
752;389;39;11.34
753;389;21;16.55
754;390;20;14.33
755;390;13;12.41
756;391;17;15.19
757;392;39;14.35
758;392;41;11.59
759;392;18;13.52
760;393;9;10.9
761;394;35;16.05
762;394;37;15.88
763;394;21;12.77
764;395;30;16.6
765;395;43;11.37
766;396;14;12.44
767;396;11;14.81
768;397;15;15.56
769;397;7;11.46
770;397;12;13.96
771;398;21;11.25
772;398;33;15.6
773;399;30;12.39
774;399;28;10.9
775;400;43;11.84
776;400;1;16.29
777;401;32;11.57
778;401;8;12.07
779;401;20;15.39
780;402;34;13.3
781;402;6;10.53
782;402;7;12.05
783;403;22;14.71
784;404;19;14.91
785;404;8;13.41
786;405;43;11.86
787;405;16;16.97
788;405;32;10.59
789;406;3;10.4
790;406;18;16.33
791;407;13;15.92
792;407;40;10.57
793;408;41;10.51
794;408;21;15.01
795;409;24;10.22
796;410;18;16.89
797;410;33;12.63
798;410;14;15.72
799;411;10;12.19
800;411;25;16.64
801;412;32;15.63
802;412;35;12.13
803;413;25;11.98
804;413;27;14.07
805;413;29;15.4
806;414;1;16.47
807;415;43;10.48
808;416;42;14.89
809;416;13;11.76
810;417;20;16.92
811;417;33;16.93
812;418;6;15.47
813;418;10;15.42
814;418;5;12.13
815;419;23;11.59
816;420;26;14.33
817;420;16;14.93
818;421;14;11.26
819;421;34;15.78
820;422;3;16.18
821;423;25;15.0
822;423;4;15.25
823;423;12;10.01
824;424;31;13.99
825;424;34;16.77
826;424;11;13.52
827;425;1;16.2
828;425;16;15.88
829;426;37;15.24
830;427;4;12.23
831;427;32;12.58
832;428;43;16.33
833;428;23;11.97
834;429;43;15.43
835;429;26;10.87
836;429;20;12.83
837;430;10;12.4
838;431;15;14.16
839;431;19;15.44
840;431;42;14.48
841;432;33;13.73
842;433;38;10.55
843;433;18;12.14
844;433;43;14.98
845;434;24;11.57
846;434;29;15.84
847;434;19;11.31
848;435;27;12.71
849;436;33;14.03
850;436;13;16.57
851;436;39;14.55
852;437;36;11.77
853;438;42;16.34
854;438;41;14.72
855;438;23;14.89
856;439;37;12.28
857;439;8;13.53
858;439;30;14.52
859;440;16;11.39
860;441;9;16.79
861;441;31;14.59
862;441;34;10.03
863;442;31;16.59
864;443;29;11.15
865;443;1;13.51
866;443;10;16.68
867;444;21;15.28
868;444;11;15.07
869;444;24;12.0
870;445;29;15.47
871;445;32;11.98
872;446;16;12.5
873;447;14;16.59
874;447;13;16.15
875;448;41;10.16
876;448;18;16.61
877;448;17;15.38
878;449;6;10.21
879;449;18;14.22
880;450;27;14.44
881;450;36;15.71
882;450;33;15.31
883;451;22;13.24
884;451;25;16.58
885;451;34;13.96
886;452;5;15.25
887;452;42;14.51
888;452;37;13.69
889;453;29;10.67
890;454;22;15.31
891;454;26;10.14
892;455;4;12.4
893;456;34;15.1
894;456;35;15.38
895;456;14;15.09
896;457;39;13.08
897;458;38;16.83
898;458;2;12.66
899;458;27;14.79
900;459;33;14.01
901;459;34;15.45
902;460;13;14.62
903;461;23;12.37
904;461;28;13.56
905;462;14;14.47
906;462;23;15.25
907;463;18;15.12
908;463;42;16.79
909;464;3;10.07
910;464;41;11.82
911;464;20;14.7
912;465;22;13.93
913;465;19;13.03
914;465;40;16.83
915;466;15;14.67
916;467;2;15.62
917;468;27;16.5
918;468;35;12.39
919;468;15;12.4
920;469;30;14.0
921;470;15;12.24
922;471;22;10.58
923;471;25;15.95
924;471;35;10.69
925;472;9;16.06
926;472;34;12.21
927;472;26;13.14
928;473;9;14.61
929;473;29;15.37
930;474;25;15.73
931;474;35;14.63
932;474;20;13.78
933;475;26;11.57
934;475;3;11.08
935;475;30;12.91
936;476;5;14.12
937;476;20;10.96
938;476;28;12.52
939;477;17;15.59
940;477;16;14.06
941;478;28;15.28
942;478;37;10.64
943;478;15;10.04
944;479;14;12.77
945;479;11;11.81
946;479;3;13.41
947;480;24;15.73
948;481;24;16.54
949;481;7;12.92
950;482;14;15.69
951;483;34;14.54
952;484;7;15.3
953;485;37;16.5
954;485;22;10.77
955;486;24;10.22
956;486;15;12.79
957;487;17;13.26
958;487;37;12.61
959;488;26;13.33
960;488;5;16.79
961;488;34;14.95
962;489;26;10.12
963;490;29;13.88
964;490;34;16.61
965;491;1;10.1
966;491;36;14.59
967;491;19;10.27
968;492;9;13.67
969;492;10;14.92
970;492;2;10.96
971;493;43;15.59
972;493;14;16.52
973;494;42;12.98
974;494;37;12.97
975;495;5;13.26
976;496;24;15.67
977;496;22;10.83
978;496;41;13.34
979;497;26;13.77
980;497;4;16.32
981;497;8;12.65
982;498;6;14.47
983;498;32;16.81
984;499;33;16.77
985;499;40;14.8
986;500;31;16.59
987;500;39;14.24
988;500;26;16.24
989;501;36;14.55
990;502;40;14.68
991;502;16;13.84
992;502;6;16.71
993;503;34;14.22
994;503;31;13.53
995;503;29;14.68
996;504;36;16.1
997;504;22;10.75
998;504;9;12.86
999;505;32;16.19
1000;505;15;10.53
1001;505;25;15.2
1002;506;32;14.31
1003;506;42;11.75
1004;507;17;16.83
1005;508;20;14.99
1006;509;18;14.89
1007;509;1;15.63
1008;510;42;14.38
1009;511;27;15.64
1010;511;36;12.51
1011;511;40;15.51
1012;512;42;11.38
1013;512;40;10.61
1014;512;21;13.27
1015;513;43;16.63
1016;513;23;11.99
1017;513;2;10.43
1018;514;2;11.01
1019;514;3;16.27
1020;514;32;10.56
1021;515;9;14.92
1022;515;21;16.08
1023;515;18;12.17
1024;516;25;15.61
1025;516;15;13.77
1026;516;20;12.14
1027;517;39;14.46
1028;518;3;11.06
1029;518;42;15.67
1030;519;23;12.77
1031;519;41;15.67
1032;520;5;16.09
1033;521;23;15.98
1034;522;32;10.29
1035;522;4;12.65
1036;523;14;16.61
1037;523;5;14.99
1038;524;34;16.16
1039;524;10;12.78
1040;525;5;15.72
1041;525;29;10.7
1042;526;30;10.53
1043;526;16;13.37
1044;526;15;15.86
1045;527;29;12.53
1046;527;38;13.58
1047;527;31;15.88
1048;528;14;13.26
1049;528;6;15.41
1050;528;9;14.4
1051;529;35;16.97
1052;529;1;10.96
1053;529;24;10.64
1054;530;30;13.19
1055;530;39;15.4
1056;530;26;15.52
1057;531;9;16.29
1058;532;26;11.5
1059;533;35;12.71
1060;533;25;11.26
1061;534;7;14.85
1062;534;41;16.89
1063;534;34;10.37
1064;535;23;15.96
1065;535;6;14.35
1066;536;15;12.03
1067;536;38;15.84
1068;536;6;12.07
1069;537;31;10.23
1070;537;43;16.09
1071;538;35;16.8
1072;538;15;12.17
1073;538;28;11.91
1074;539;16;10.65
1075;539;28;13.18
1076;540;23;13.95
1077;541;14;11.16
1078;541;27;10.77
1079;541;28;10.19
1080;542;9;10.92
1081;542;15;15.27
1082;542;25;12.23
1083;543;19;11.01
1084;544;6;16.62
1085;544;28;13.8
1086;545;21;15.09
1087;546;41;11.95
1088;547;26;14.08
1089;548;30;14.84
1090;549;23;16.57
1091;550;32;16.24
1092;550;4;15.85
1093;550;20;10.55
1094;551;1;11.68
1095;552;41;15.37
1096;552;23;15.7
1097;552;28;13.71
1098;553;43;12.85
1099;554;17;15.94
1100;555;7;15.61
1101;555;19;13.61
1102;556;41;15.57
1103;557;32;14.04
1104;557;14;12.05
1105;557;38;16.32
1106;558;36;10.65
1107;558;37;12.26
1108;558;39;16.93
1109;559;28;16.85
1110;559;22;10.01
1111;560;36;11.46
1112;560;10;15.75
1113;561;19;12.49
1114;562;36;13.57
1115;563;19;14.97
1116;563;25;11.71
1117;564;36;11.45
1118;564;31;13.43
1119;565;21;14.57
1120;566;39;16.56
1121;566;22;15.07
1122;566;18;15.13
1123;567;31;14.91
1124;568;27;12.25
1125;569;4;13.09
1126;569;3;14.13
1127;569;22;15.95
1128;570;12;12.8
1129;570;17;14.42
1130;571;19;13.61
1131;571;22;14.58
1132;572;12;13.83
1133;573;3;15.51
1134;574;2;11.7
1135;575;32;12.8
1136;575;42;16.2
1137;575;10;13.17
1138;576;12;11.94
1139;577;14;13.41
1140;577;35;16.96
1141;577;38;11.28
1142;578;30;13.32
1143;578;27;12.35
1144;578;36;16.68
1145;579;6;15.75
1146;579;40;16.22
1147;579;38;14.18
1148;580;34;11.12
1149;581;29;13.73
1150;582;17;12.0
1151;583;3;13.54
1152;584;39;16.82
1153;584;8;10.2
1154;584;15;14.79
1155;585;36;10.98
1156;585;29;10.29
1157;585;13;11.94
1158;586;14;13.72
1159;586;33;16.91
1160;586;3;11.49
1161;587;41;10.4
1162;587;16;16.1
1163;588;33;10.23
1164;588;35;12.51
1165;588;7;12.19
1166;589;26;12.47
1167;589;29;10.4
1168;590;11;13.41
1169;591;39;16.18
1170;592;30;11.12
1171;592;23;16.83
1172;593;23;13.77
1173;594;39;12.17
1174;595;41;14.68
1175;596;31;10.79
1176;596;35;11.28
1177;597;13;15.65
1178;597;3;11.7
1179;597;37;16.3
1180;598;33;16.09
1181;599;13;15.12
1182;600;31;10.39
1183;600;15;14.86
1184;601;33;13.09
1185;602;20;12.56
1186;602;15;16.28
1187;603;6;11.51
1188;603;12;12.45
1189;604;26;11.84
1190;604;21;14.53
1191;604;2;16.31
1192;605;4;11.93
1193;606;16;12.5
1194;606;38;14.46
1195;607;22;16.56
1196;607;3;16.7
1197;607;40;13.16
1198;608;34;11.76
1199;608;3;11.53
1200;609;10;11.77
1201;609;9;16.43
1202;610;15;13.95
1203;611;16;12.21
1204;611;12;14.6
1205;612;7;14.82
1206;612;28;10.58
1207;612;30;11.92
1208;613;38;10.05
1209;614;30;12.23
1210;614;10;14.91
1211;615;10;15.45
1212;615;25;12.87
1213;615;4;14.79
1214;616;28;10.8
1215;617;35;15.69
1216;617;18;13.49
1217;618;40;12.93
1218;618;2;12.92
1219;619;7;11.5
1220;619;17;12.23
1221;620;20;16.58
1222;620;7;13.42
1223;621;3;10.12
1224;622;3;16.82
1225;623;26;13.29
1226;623;40;13.99
1227;624;35;15.52
1228;624;9;16.79
1229;625;5;12.77
1230;625;8;16.04
1231;626;11;10.56
1232;626;35;13.51
1233;626;13;16.79
1234;627;18;11.96
1235;627;3;12.5
1236;627;41;14.41
1237;628;11;15.74
1238;628;43;10.29
1239;629;27;11.99
1240;629;25;11.46
1241;629;38;14.55
1242;630;31;16.51
1243;631;12;14.16
1244;631;26;16.3
1245;632;11;10.54
1246;632;23;12.72
1247;633;20;11.29
1248;634;19;11.27
1249;634;13;10.26
1250;634;32;12.12
1251;635;7;16.93
1252;635;18;12.35
1253;636;17;14.84
1254;636;16;16.95
1255;636;8;16.12
1256;637;20;15.3
1257;637;34;10.97
1258;638;12;11.08
1259;638;2;10.18
1260;639;17;14.59
1261;639;28;11.51
1262;640;38;12.43
1263;640;42;16.69
1264;641;33;13.12
1265;641;6;12.5
1266;641;19;10.76
1267;642;10;10.06
1268;643;38;14.98
1269;643;42;14.93
1270;644;13;10.54
1271;644;32;15.63
1272;645;7;12.16
1273;645;38;12.68
1274;645;6;14.58
1275;646;5;15.78
1276;647;8;10.89
1277;648;43;16.06
1278;648;36;14.66
1279;648;32;11.65
1280;649;9;13.39
1281;649;36;13.68
1282;650;15;10.08
1283;650;19;16.4
1284;650;24;15.71
1285;651;3;11.63
1286;652;22;16.71
1287;653;11;11.91
1288;653;30;12.52
1289;654;41;15.57
1290;654;11;10.74
1291;654;29;11.36
1292;655;28;11.02
1293;655;34;13.79
1294;656;4;16.6
1295;656;41;15.16
1296;657;6;11.13
1297;657;41;11.43
1298;657;16;11.75
1299;658;13;13.26
1300;659;15;14.02
1301;659;4;12.51
1302;659;29;13.6
1303;660;21;12.53
1304;660;4;13.1
1305;660;11;16.78
1306;661;29;15.54
1307;661;35;16.69
1308;662;19;15.27
1309;662;18;14.42
1310;662;27;11.66
1311;663;3;11.46
1312;663;13;15.01
1313;664;8;10.25
1314;664;23;12.06
1315;665;7;14.56
1316;666;26;16.37
1317;666;32;10.2
1318;667;33;13.53
1319;667;40;14.54
1320;668;28;14.63
1321;668;35;11.51
1322;669;8;12.56
1323;669;20;12.78
1324;670;15;15.89
1325;671;22;16.14
1326;671;8;13.79
1327;672;18;12.05
1328;672;8;14.38
1329;673;28;15.4
1330;673;12;12.89
1331;674;35;14.1
1332;674;29;13.51
1333;674;21;10.72
1334;675;9;11.66
1335;675;29;13.88
1336;675;26;14.66
1337;676;9;10.1
1338;676;42;15.91
1339;676;37;10.47
1340;677;28;12.75
1341;677;23;15.01
1342;677;43;14.83
1343;678;12;13.47
1344;678;20;14.53
1345;679;25;14.9
1346;680;12;15.12
1347;681;37;16.96
1348;681;8;10.44
1349;682;41;16.94
1350;683;1;13.25
1351;684;39;12.04
1352;684;3;15.9
1353;685;3;13.28
1354;686;25;12.41
1355;686;32;10.82
1356;687;24;15.03
1357;688;40;16.67
1358;688;18;14.91
1359;688;38;15.8
1360;689;38;11.87
