vegetable_price_id;discount;valid_until
290;0.04;2023-11-26T06:15:42+00:00
295;1.16;2023-07-09T23:55:06+00:00
298;0.3;2023-11-22T02:19:55+00:00
326;0.22;2023-10-12T13:47:33+00:00
334;0.26;2023-07-18T15:45:56+00:00
337;1.06;2023-08-17T14:55:00+00:00
338;0.42;2023-07-07T14:24:19+00:00
342;0.19;2023-10-13T07:57:01+00:00
347;0.82;2023-06-27T00:54:01+00:00
348;0.03;2023-11-13T10:32:13+00:00
356;0.28;2023-06-30T05:15:10+00:00
359;0.02;2023-09-08T18:30:26+00:00
367;0.28;2023-11-08T00:23:10+00:00
373;0.25;2023-10-14T00:00:54+00:00
374;0.34;2023-09-23T04:35:07+00:00
383;0.51;2023-11-14T12:11:39+00:00
385;0.18;2023-11-13T07:16:14+00:00
391;1.18;2023-07-22T16:21:28+00:00
399;0.26;2023-08-23T01:27:58+00:00
416;1.06;2023-09-30T18:35:05+00:00
421;0.17;2023-10-21T11:52:35+00:00
422;0.44;2023-07-14T08:04:26+00:00
423;0.56;2023-05-18T20:33:26+00:00
435;0.2;2023-11-19T06:17:44+00:00
441;0.18;2023-09-18T11:37:13+00:00
447;0.13;2023-06-14T21:56:48+00:00
465;0.46;2023-08-12T14:17:40+00:00
466;0.48;2023-05-30T03:57:47+00:00
477;0.17;2023-09-16T14:32:01+00:00
483;0.11;2023-09-21T11:08:02+00:00
486;0.43;2023-05-15T10:59:58+00:00
487;0.52;2023-09-04T19:41:21+00:00
488;0.15;2023-05-27T02:53:06+00:00
490;0.03;2023-06-14T17:41:37+00:00
493;0.26;2023-07-20T19:06:42+00:00
497;0.11;2023-08-13T21:31:14+00:00
503;0.1;2023-06-21T21:20:39+00:00
506;0.32;2023-10-27T08:05:14+00:00
515;0.57;2023-05-29T04:46:09+00:00
518;0.1;2023-10-28T15:40:03+00:00
525;0.41;2023-10-02T23:39:01+00:00
534;0.11;2023-05-25T19:17:57+00:00
539;0.35;2023-05-25T22:59:59+00:00
546;0.41;2023-07-11T10:56:03+00:00
552;0.58;2023-07-04T16:27:48+00:00
559;0.14;2023-08-26T02:39:46+00:00
568;0.28;2023-05-14T22:20:13+00:00
570;0.98;2023-09-22T17:32:38+00:00
577;1.08;2023-11-20T21:05:32+00:00
584;0.09;2023-09-22T05:58:19+00:00
585;0.05;2023-11-28T14:59:55+00:00
587;0.05;2023-08-27T04:22:57+00:00
590;0.32;2023-09-02T16:44:28+00:00
597;0.08;2023-07-28T14:24:15+00:00
598;0.22;2023-07-04T00:20:43+00:00
599;0.12;2023-05-10T13:36:14+00:00
613;0.01;2023-09-09T18:52:14+00:00
621;1.08;2023-06-02T00:05:42+00:00
626;0.15;2023-09-02T13:31:51+00:00
637;0.49;2023-08-23T08:30:15+00:00
642;0.84;2023-11-12T04:48:36+00:00
645;0.7;2023-07-22T06:51:08+00:00
650;0.07;2023-07-17T06:31:45+00:00
657;0.62;2023-11-23T02:26:56+00:00
666;0.17;2023-07-20T10:38:09+00:00
669;0.08;2023-08-04T17:00:39+00:00
673;0.58;2023-08-11T11:03:14+00:00
686;0.26;2023-07-02T16:32:23+00:00
688;0.29;2023-09-08T02:38:34+00:00
689;0.51;2023-08-06T20:40:21+00:00
704;0.56;2023-09-26T20:29:58+00:00
715;0.08;2023-09-07T11:32:34+00:00
720;0.24;2023-06-02T17:08:48+00:00
721;0.28;2023-06-12T04:33:32+00:00
722;0.04;2023-05-01T22:59:19+00:00
727;0.04;2023-07-08T03:36:05+00:00
731;0.57;2023-10-28T22:55:39+00:00
733;0.52;2023-09-09T13:15:45+00:00
747;0.44;2023-10-07T01:41:23+00:00
749;0.36;2023-11-29T21:21:30+00:00
751;0.45;2023-09-26T04:58:03+00:00
755;0.49;2023-10-12T04:23:34+00:00
763;0.14;2023-08-30T23:43:52+00:00
781;0.15;2023-09-18T01:46:53+00:00
783;0.03;2023-09-25T20:43:04+00:00
788;0.28;2023-06-13T03:12:03+00:00
793;0.25;2023-06-22T04:21:22+00:00
805;0.4;2023-07-04T02:33:02+00:00
809;0.29;2023-07-19T23:31:27+00:00
815;0.44;2023-06-08T13:19:35+00:00
823;0.48;2023-07-25T19:05:16+00:00
826;1.02;2023-09-03T21:45:54+00:00
837;1.06;2023-10-09T00:26:43+00:00
838;0.23;2023-06-30T21:49:10+00:00
841;0.26;2023-10-30T12:48:33+00:00
853;0.39;2023-10-19T02:55:39+00:00
855;0.0;2023-06-20T03:23:38+00:00
858;0.8;2023-06-19T14:38:18+00:00
859;0.03;2023-06-06T06:24:32+00:00
860;0.89;2023-06-01T14:19:07+00:00
866;0.16;2023-09-22T09:10:36+00:00
874;0.02;2023-09-15T14:58:57+00:00
875;0.28;2023-08-03T19:57:04+00:00
876;0.6;2023-05-05T12:10:52+00:00
883;0.3;2023-11-21T07:23:42+00:00
887;0.35;2023-06-09T15:26:43+00:00
901;1.08;2023-11-11T07:29:46+00:00
914;0.31;2023-05-18T04:06:42+00:00
928;0.01;2023-06-08T16:23:24+00:00
934;0.29;2023-05-27T12:25:22+00:00
942;0.31;2023-10-31T05:32:28+00:00
949;0.77;2023-10-20T22:13:38+00:00
952;0.67;2023-05-21T10:14:20+00:00
955;0.2;2023-05-01T18:38:31+00:00
960;0.89;2023-06-14T21:14:20+00:00
962;0.14;2023-08-31T01:34:08+00:00
967;0.4;2023-09-04T12:23:54+00:00
977;0.2;2023-09-22T21:59:04+00:00
989;0.09;2023-07-14T20:32:17+00:00
990;0.18;2023-07-27T09:39:10+00:00
991;0.41;2023-07-01T15:33:48+00:00
992;0.32;2023-07-02T21:17:10+00:00
1001;1.14;2023-08-17T04:19:25+00:00
1004;0.19;2023-08-01T17:28:11+00:00
1011;0.61;2023-10-15T18:54:32+00:00
1013;0.69;2023-09-09T11:35:40+00:00
1021;0.16;2023-10-01T14:50:22+00:00
1027;0.39;2023-09-15T23:35:48+00:00
1029;0.62;2023-05-27T02:43:59+00:00
1030;0.24;2023-10-02T00:28:43+00:00
1031;0.39;2023-09-09T12:57:15+00:00
1034;0.02;2023-07-09T22:43:05+00:00
1054;0.03;2023-07-23T07:11:22+00:00
1056;0.35;2023-05-31T00:50:42+00:00
1058;0.66;2023-11-27T19:59:19+00:00
1059;1.09;2023-09-05T21:03:34+00:00
1068;0.22;2023-06-07T06:11:23+00:00
1073;0.5;2023-06-13T07:15:32+00:00
1075;0.57;2023-05-06T19:26:47+00:00
1081;0.15;2023-06-01T04:26:48+00:00
1084;0.09;2023-09-07T18:35:15+00:00
1085;0.62;2023-05-20T15:56:38+00:00
1086;0.29;2023-11-01T02:12:38+00:00
1089;0.1;2023-06-27T12:32:08+00:00
1090;0.12;2023-11-26T18:04:25+00:00
1091;0.3;2023-08-11T08:04:32+00:00
1092;0.61;2023-09-04T15:09:26+00:00
1100;0.05;2023-06-25T06:41:37+00:00
1102;0.17;2023-09-04T10:35:57+00:00
1113;0.02;2023-08-25T20:00:23+00:00
1115;0.68;2023-06-04T20:37:47+00:00
1117;0.11;2023-06-08T18:26:47+00:00
1119;0.24;2023-08-09T16:07:07+00:00
1121;1.12;2023-10-27T01:33:08+00:00
1128;0.09;2023-10-23T09:51:42+00:00
1130;0.17;2023-09-10T04:44:52+00:00
1137;0.32;2023-08-12T04:26:15+00:00
1142;0.8;2023-11-16T23:08:06+00:00
1146;0.1;2023-08-09T03:43:27+00:00
1147;0.09;2023-05-30T17:04:12+00:00
1150;0.49;2023-05-26T12:46:38+00:00
1154;0.43;2023-06-24T06:50:05+00:00
1159;0.26;2023-09-24T13:39:12+00:00
1173;1.09;2023-08-18T13:27:17+00:00
1185;0.1;2023-09-11T08:48:04+00:00
1189;0.18;2023-09-21T13:10:35+00:00
1197;0.87;2023-07-11T07:41:55+00:00
1198;0.21;2023-08-04T00:45:13+00:00
1199;0.04;2023-10-07T09:45:23+00:00
1208;0.16;2023-10-18T02:51:35+00:00
1213;0.13;2023-10-08T07:22:31+00:00
1221;0.87;2023-08-21T06:48:27+00:00
1235;0.35;2023-11-05T17:29:24+00:00
1236;0.23;2023-05-23T13:04:39+00:00
1243;0.11;2023-07-08T18:19:32+00:00
1255;0.53;2023-11-18T02:10:04+00:00
1262;0.4;2023-07-08T15:43:46+00:00
1279;0.18;2023-10-06T18:29:38+00:00
1280;0.08;2023-10-24T10:49:35+00:00
1282;0.41;2023-11-20T06:17:45+00:00
1298;0.23;2023-11-17T06:16:29+00:00
1301;0.08;2023-07-06T17:44:49+00:00
1302;0.09;2023-07-30T11:20:20+00:00
1304;0.41;2023-05-19T20:01:50+00:00
1305;0.09;2023-05-30T19:55:28+00:00
1307;0.34;2023-10-29T01:37:41+00:00
1308;0.33;2023-09-25T04:45:49+00:00
1315;0.17;2023-09-07T07:47:41+00:00
1317;0.22;2023-08-20T17:05:26+00:00
1320;0.35;2023-09-28T15:27:30+00:00
1321;0.39;2023-07-01T20:35:56+00:00
1331;0.16;2023-11-08T03:11:07+00:00
1333;0.88;2023-11-01T07:24:11+00:00
1352;0.38;2023-05-18T12:17:17+00:00
1355;0.08;2023-08-08T08:26:29+00:00
1357;0.25;2023-07-25T16:11:46+00:00
1359;0.42;2023-07-29T18:29:32+00:00
1362;0.2;2023-05-12T05:47:21+00:00
1364;0.78;2023-06-27T02:36:16+00:00
1365;0.76;2023-11-11T01:09:06+00:00
1372;0.29;2023-11-02T05:44:57+00:00
1374;0.02;2023-07-17T23:43:16+00:00
1382;0.11;2023-07-09T21:06:52+00:00
1389;1.14;2023-11-06T13:45:27+00:00
1394;0.77;2023-10-23T12:57:27+00:00
1398;0.54;2023-06-18T05:07:56+00:00
1401;0.28;2023-08-30T00:31:23+00:00
1405;0.92;2023-07-17T18:05:45+00:00
1413;0.76;2023-06-28T17:26:24+00:00
1418;0.81;2023-08-25T21:45:35+00:00
1419;0.25;2023-07-12T15:57:25+00:00
1421;0.11;2023-07-13T22:19:21+00:00
1423;0.27;2023-07-04T07:51:27+00:00
1425;0.61;2023-10-16T03:13:39+00:00
1426;0.41;2023-10-25T08:02:12+00:00
1428;0.58;2023-06-23T17:53:51+00:00
1433;0.11;2023-08-15T04:15:50+00:00
1437;0.83;2023-10-12T10:47:41+00:00
1447;0.08;2023-06-06T08:22:58+00:00
1457;0.71;2023-08-30T08:42:52+00:00
1465;0.03;2023-08-28T00:49:18+00:00
1469;0.28;2023-07-01T01:12:46+00:00
1470;0.5;2023-08-19T04:14:18+00:00
1472;0.02;2023-06-26T14:13:11+00:00
1473;0.87;2023-10-10T15:42:07+00:00
1478;0.38;2023-11-21T23:07:52+00:00
1483;0.44;2023-05-16T19:06:35+00:00
1489;0.02;2023-10-10T14:48:58+00:00
1493;0.43;2023-11-26T23:57:30+00:00
1495;0.03;2023-11-08T20:11:31+00:00
1496;0.48;2023-08-08T07:34:18+00:00
1501;0.01;2023-05-10T21:36:43+00:00
1505;0.45;2023-05-04T22:58:54+00:00
1506;0.52;2023-05-27T01:09:57+00:00
1508;0.57;2023-09-12T13:34:45+00:00
1510;0.87;2023-10-19T16:03:28+00:00
1513;0.45;2023-06-12T09:46:56+00:00
1515;0.82;2023-09-01T05:26:49+00:00
1527;0.32;2023-11-24T07:57:32+00:00
1533;0.14;2023-07-26T21:50:59+00:00
1534;0.2;2023-10-29T02:15:51+00:00
1538;0.0;2023-05-07T12:30:40+00:00
1543;0.46;2023-08-20T13:10:48+00:00
1549;0.02;2023-05-10T18:10:16+00:00
1550;0.28;2023-12-01T16:29:43+00:00
1560;0.43;2023-09-14T03:16:14+00:00
1566;0.75;2023-11-17T02:16:22+00:00
1568;0.07;2023-07-29T05:50:21+00:00
1569;0.28;2023-07-14T04:57:04+00:00
1572;0.26;2023-11-10T19:44:05+00:00
1573;0.05;2023-11-11T19:50:26+00:00
1576;0.16;2023-09-13T09:57:35+00:00
1596;0.21;2023-11-20T09:20:45+00:00
1616;0.22;2023-06-28T19:07:08+00:00
1620;0.75;2023-09-03T07:45:22+00:00
1628;0.11;2023-11-16T13:26:37+00:00
1630;0.37;2023-09-14T08:50:39+00:00
1631;0.16;2023-06-17T14:07:59+00:00
1636;0.56;2023-08-05T02:16:12+00:00
1648;0.29;2023-07-04T16:01:34+00:00
1650;0.69;2023-10-08T13:48:00+00:00
1651;0.98;2023-08-22T03:15:25+00:00
1664;0.29;2023-09-03T21:53:33+00:00
1674;0.19;2023-08-22T21:38:13+00:00
1679;0.26;2023-07-14T11:37:46+00:00
1688;0.05;2023-10-22T04:15:27+00:00
1692;0.77;2023-08-28T09:36:56+00:00
1699;0.25;2023-05-02T02:41:47+00:00
1700;0.35;2023-08-16T10:00:38+00:00
1702;0.78;2023-08-16T14:09:33+00:00
1703;0.39;2023-06-17T12:32:16+00:00
1705;0.08;2023-06-16T17:33:18+00:00
1706;0.27;2023-11-02T21:30:10+00:00
1707;0.26;2023-07-22T13:13:02+00:00
1714;0.28;2023-09-01T08:42:49+00:00
1717;0.4;2023-11-28T18:40:00+00:00
1722;0.01;2023-07-01T09:56:50+00:00
1723;0.06;2023-05-09T21:02:13+00:00
1731;0.33;2023-06-06T05:15:41+00:00
1732;0.22;2023-07-09T22:12:05+00:00
1740;0.28;2023-08-29T14:43:05+00:00
1742;0.53;2023-08-12T00:17:17+00:00
1748;0.17;2023-07-07T09:33:12+00:00
1771;0.63;2023-05-22T06:00:24+00:00
1778;0.37;2023-05-12T13:17:47+00:00
1784;0.05;2023-09-05T22:35:40+00:00
1788;0.09;2023-09-25T05:22:59+00:00
1789;0.37;2023-08-08T08:01:18+00:00
1791;0.25;2023-08-07T07:27:13+00:00
1792;0.65;2023-07-27T12:58:27+00:00
1809;0.5;2023-05-19T14:03:40+00:00
1810;0.64;2023-07-14T11:11:36+00:00
1811;0.06;2023-05-23T03:37:23+00:00
1814;0.02;2023-09-16T21:02:40+00:00
1822;0.75;2023-05-13T08:55:56+00:00
1835;0.04;2023-05-08T12:24:24+00:00
1838;0.04;2023-08-31T05:56:41+00:00
1840;0.53;2023-07-04T10:11:54+00:00
1848;0.26;2023-08-29T11:33:26+00:00
1851;0.15;2023-08-18T11:05:25+00:00
1852;0.06;2023-10-13T13:37:09+00:00
1866;1.2;2023-08-03T20:25:57+00:00
1872;0.8;2023-06-03T01:30:29+00:00
1881;0.01;2023-10-09T10:30:22+00:00
1883;0.3;2023-06-11T05:03:44+00:00
1889;0.02;2023-05-19T23:22:44+00:00
1890;0.67;2023-09-22T20:46:21+00:00
1897;0.03;2023-10-22T13:58:37+00:00
1911;0.32;2023-11-03T00:22:03+00:00
1916;0.41;2023-11-02T18:07:05+00:00
1924;0.43;2023-08-28T22:48:56+00:00
1933;0.37;2023-06-03T20:14:18+00:00
1935;0.5;2023-09-12T01:30:21+00:00
1945;0.77;2023-08-16T05:40:06+00:00
1965;0.36;2023-06-15T23:44:51+00:00
1967;0.62;2023-09-19T02:30:58+00:00
1976;1.0;2023-06-01T16:45:45+00:00
1985;0.23;2023-10-29T04:00:19+00:00
1987;0.27;2023-07-08T21:04:02+00:00
2003;0.36;2023-05-16T13:40:53+00:00
2005;0.07;2023-08-11T06:46:24+00:00
2007;0.09;2023-08-12T01:37:09+00:00
2012;0.7;2023-09-24T13:37:12+00:00
2013;0.14;2023-11-28T22:43:17+00:00
2014;0.44;2023-10-14T08:35:59+00:00
2018;0.4;2023-10-04T08:41:36+00:00
2019;0.32;2023-08-02T22:35:14+00:00
2022;0.22;2023-10-08T01:58:40+00:00
2031;0.08;2023-09-06T12:28:20+00:00
2033;0.87;2023-10-28T09:37:30+00:00
2050;0.1;2023-11-15T10:34:51+00:00
2052;0.33;2023-11-18T15:58:20+00:00
2054;0.15;2023-09-25T05:48:00+00:00
2057;0.26;2023-06-11T17:16:13+00:00
2061;0.64;2023-09-22T23:52:21+00:00
2069;0.72;2023-06-28T21:30:06+00:00
2071;0.36;2023-07-14T07:29:22+00:00
2080;0.07;2023-10-26T07:06:30+00:00
2081;0.61;2023-11-24T01:03:26+00:00
2082;0.79;2023-07-31T12:25:08+00:00
2086;0.37;2023-07-05T03:47:32+00:00
2091;0.6;2023-07-03T01:49:45+00:00
2105;0.13;2023-05-25T23:20:31+00:00
2106;0.31;2023-08-19T08:52:30+00:00
2108;0.32;2023-11-28T08:35:39+00:00
2110;0.79;2023-09-29T05:06:23+00:00
2115;0.42;2023-11-20T04:55:14+00:00
2116;0.9;2023-11-17T14:59:53+00:00
2117;0.8;2023-11-25T08:32:29+00:00
2119;0.34;2023-08-02T08:50:27+00:00
2122;1.12;2023-05-27T07:10:23+00:00
2132;0.56;2023-08-25T10:02:56+00:00
2138;0.12;2023-11-11T17:14:08+00:00
2145;0.51;2023-05-20T04:52:51+00:00
2153;0.33;2023-08-15T19:30:33+00:00
2156;0.68;2023-10-17T08:11:41+00:00
2158;0.59;2023-09-29T02:39:01+00:00
2161;0.07;2023-08-09T06:07:44+00:00
2164;0.09;2023-10-09T11:42:50+00:00
2166;0.26;2023-05-08T03:22:50+00:00
2167;0.14;2023-08-27T10:32:41+00:00
2176;0.15;2023-05-27T21:47:49+00:00
2190;0.53;2023-06-13T11:29:25+00:00
2200;0.46;2023-08-09T19:45:29+00:00
2201;0.44;2023-08-16T05:22:11+00:00
2205;0.27;2023-05-29T01:54:27+00:00
2221;0.43;2023-07-08T10:20:16+00:00
2228;0.24;2023-08-08T14:45:29+00:00
2238;0.04;2023-11-16T22:30:19+00:00
2252;0.11;2023-11-20T14:15:47+00:00
2254;0.25;2023-10-21T11:42:18+00:00
2258;0.05;2023-07-29T00:53:08+00:00
2261;0.63;2023-05-01T04:51:17+00:00
2262;0.83;2023-07-22T11:33:03+00:00
2265;0.38;2023-08-19T17:42:17+00:00
2267;0.09;2023-10-06T12:46:33+00:00
2283;0.42;2023-09-08T10:03:22+00:00
2284;0.83;2023-09-10T12:40:25+00:00
2288;0.19;2023-06-07T01:18:30+00:00
2289;1.08;2023-09-12T17:18:35+00:00
2293;1.14;2023-07-07T14:58:01+00:00
2296;0.83;2023-09-13T00:56:47+00:00
2297;0.42;2023-09-22T22:15:55+00:00
2298;0.03;2023-09-14T08:57:10+00:00
2302;0.14;2023-10-14T13:41:30+00:00
2311;0.72;2023-05-20T06:21:58+00:00
2313;0.5;2023-11-01T13:02:11+00:00
2318;0.53;2023-11-26T05:19:17+00:00
2321;0.36;2023-06-02T10:39:26+00:00
2323;1.0;2023-07-16T16:35:47+00:00
2327;0.15;2023-05-01T07:24:50+00:00
2330;0.7;2023-11-10T03:15:35+00:00
2340;0.26;2023-09-04T17:37:42+00:00
2343;0.7;2023-11-25T10:50:23+00:00
2344;0.25;2023-10-09T23:43:16+00:00
2345;0.48;2023-10-07T21:18:51+00:00
2346;0.19;2023-08-09T02:41:30+00:00
2364;0.77;2023-10-08T06:23:41+00:00
2366;0.04;2023-09-10T05:44:05+00:00
2371;0.65;2023-06-13T14:34:28+00:00
2373;0.78;2023-08-13T13:32:53+00:00
2386;0.25;2023-08-16T07:27:31+00:00
2401;0.77;2023-08-25T08:25:01+00:00
2406;0.28;2023-05-27T12:16:56+00:00
2409;0.1;2023-08-31T01:43:23+00:00
2411;0.05;2023-08-16T15:53:15+00:00
2412;0.9;2023-10-25T17:59:58+00:00
2417;0.09;2023-05-11T15:45:28+00:00
2418;1.01;2023-11-05T22:26:26+00:00
2419;0.03;2023-07-13T19:53:57+00:00
2420;0.2;2023-11-04T05:19:51+00:00
2425;0.3;2023-07-05T08:40:11+00:00
2432;0.14;2023-11-14T10:22:24+00:00
2433;0.55;2023-05-28T00:53:22+00:00
2435;0.04;2023-08-14T22:33:05+00:00
2437;0.46;2023-11-17T09:11:09+00:00
2439;0.23;2023-07-18T09:55:18+00:00
2440;0.54;2023-07-08T21:17:36+00:00
2443;0.28;2023-08-31T01:40:40+00:00
2444;0.18;2023-10-30T14:12:25+00:00
2447;0.25;2023-05-16T17:54:21+00:00
2450;0.43;2023-11-21T17:46:27+00:00
2452;0.82;2023-11-30T04:10:44+00:00
2455;0.07;2023-11-27T18:14:18+00:00
2458;0.02;2023-09-05T10:50:22+00:00
2460;0.18;2023-07-13T12:26:47+00:00
2461;0.29;2023-08-22T06:16:44+00:00
2463;0.56;2023-09-30T15:15:17+00:00
2468;0.28;2023-05-31T08:09:40+00:00
2469;0.27;2023-08-08T17:15:26+00:00
2477;0.43;2023-05-08T23:11:00+00:00
2478;0.89;2023-07-18T23:19:16+00:00
2480;0.14;2023-10-16T18:39:04+00:00
2489;0.23;2023-07-07T02:10:09+00:00
2490;0.14;2023-07-01T11:24:32+00:00
2491;0.43;2023-07-13T01:55:22+00:00
2497;0.65;2023-05-28T00:01:15+00:00
2499;0.27;2023-10-23T14:46:14+00:00
2504;0.15;2023-05-15T07:20:23+00:00
2506;0.19;2023-10-21T03:05:30+00:00
2517;0.61;2023-10-18T00:38:06+00:00
2520;0.72;2023-11-05T05:24:42+00:00
2523;0.36;2023-09-21T01:59:18+00:00
2526;0.38;2023-11-30T05:33:07+00:00
2537;0.69;2023-11-27T11:09:37+00:00
2543;0.11;2023-08-01T09:20:11+00:00
2548;0.32;2023-08-16T00:06:26+00:00
2565;0.21;2023-07-07T13:56:38+00:00
2571;0.18;2023-09-04T20:17:26+00:00
2572;0.42;2023-09-20T11:30:55+00:00
2576;0.07;2023-10-03T16:32:59+00:00
2577;0.02;2023-05-08T06:54:24+00:00
2578;0.4;2023-11-25T19:26:44+00:00
2587;0.61;2023-08-31T17:52:50+00:00
2594;0.93;2023-07-12T12:14:05+00:00
2600;0.58;2023-11-22T01:40:50+00:00
2605;0.32;2023-06-05T23:41:01+00:00
2611;0.55;2023-06-04T08:36:58+00:00
2612;0.56;2023-07-15T18:28:03+00:00
2614;0.05;2023-11-25T12:24:51+00:00
2615;0.11;2023-05-04T01:58:09+00:00
2622;0.63;2023-09-15T07:35:26+00:00
2628;0.24;2023-11-12T07:22:53+00:00
2629;0.13;2023-11-12T17:39:06+00:00
2630;0.53;2023-05-14T20:38:19+00:00
2631;0.73;2023-05-18T13:35:06+00:00
2643;0.87;2023-05-10T07:05:09+00:00
2649;0.18;2023-05-21T05:23:22+00:00
2650;0.11;2023-07-14T09:58:36+00:00
2651;0.18;2023-09-03T19:15:13+00:00
2656;1.11;2023-05-30T15:43:46+00:00
2662;0.12;2023-10-12T12:12:32+00:00
2663;0.89;2023-08-23T09:37:38+00:00
2666;0.24;2023-11-26T04:36:26+00:00
2673;0.38;2023-08-14T20:09:35+00:00
2676;0.9;2023-10-29T03:28:34+00:00
2679;0.03;2023-11-27T15:21:41+00:00
2680;0.18;2023-09-06T15:13:51+00:00
2687;0.67;2023-06-29T22:00:11+00:00
2697;0.32;2023-08-06T09:24:29+00:00
2701;0.01;2023-05-19T22:52:09+00:00
2703;0.85;2023-12-01T13:55:14+00:00
2715;0.78;2023-08-13T06:40:42+00:00
2721;0.13;2023-06-29T21:35:55+00:00
2726;0.23;2023-08-10T21:25:29+00:00
2728;0.65;2023-10-22T21:00:23+00:00
2733;0.2;2023-08-20T07:23:02+00:00
2737;1.1;2023-08-08T02:21:46+00:00
2738;0.27;2023-11-07T11:19:29+00:00
2746;0.25;2023-10-15T20:46:25+00:00
2755;0.5;2023-10-01T22:45:13+00:00
2756;0.14;2023-07-19T17:22:46+00:00
2758;0.14;2023-09-12T06:20:32+00:00
2761;0.21;2023-07-11T06:11:03+00:00
2769;0.06;2023-10-01T08:58:20+00:00
2780;0.05;2023-10-20T12:28:40+00:00
2785;0.37;2023-08-14T12:47:22+00:00
2787;0.5;2023-06-03T19:36:51+00:00
2790;0.25;2023-10-24T17:12:44+00:00
2798;0.68;2023-07-08T23:38:17+00:00
2800;0.12;2023-09-19T10:53:59+00:00
2804;0.75;2023-06-09T18:53:11+00:00
2809;0.23;2023-06-01T05:00:04+00:00
2813;0.49;2023-09-12T13:20:05+00:00
2821;0.35;2023-06-06T18:02:14+00:00
2826;0.12;2023-11-27T10:21:05+00:00
2845;0.22;2023-05-14T07:04:10+00:00
2846;0.05;2023-11-10T23:10:11+00:00
2849;0.82;2023-07-24T14:04:22+00:00
2850;0.63;2023-11-29T06:03:59+00:00
2855;0.25;2023-10-12T03:58:38+00:00
2856;0.04;2023-10-28T21:49:00+00:00
2858;0.01;2023-06-30T02:39:11+00:00
2864;0.03;2023-11-01T11:54:15+00:00
2869;0.63;2023-09-17T22:01:43+00:00
2874;0.12;2023-06-12T15:25:28+00:00
2876;0.23;2023-06-03T21:23:31+00:00
2878;0.26;2023-06-01T04:09:08+00:00
2882;0.82;2023-08-28T06:13:20+00:00
2886;1.05;2023-05-16T17:05:09+00:00
2890;0.02;2023-07-16T09:41:52+00:00
2891;0.3;2023-09-15T10:40:01+00:00
2893;0.06;2023-07-15T17:50:38+00:00
2906;0.14;2023-06-07T18:22:57+00:00
2907;0.02;2023-11-08T19:36:28+00:00
2909;0.84;2023-05-26T06:39:02+00:00
2914;0.4;2023-09-26T19:00:08+00:00
2934;0.11;2023-07-24T04:40:06+00:00
2939;0.39;2023-05-13T02:31:24+00:00
2941;0.05;2023-10-18T15:45:03+00:00
2944;0.56;2023-09-01T04:38:11+00:00
2945;0.01;2023-08-27T05:05:15+00:00
2949;0.26;2023-08-09T06:12:34+00:00
2950;1.09;2023-08-17T13:13:34+00:00
2961;0.65;2023-06-06T03:41:41+00:00
2966;0.86;2023-05-06T01:22:31+00:00
2970;0.08;2023-08-19T11:22:52+00:00
2972;0.0;2023-06-30T06:38:45+00:00
2981;0.49;2023-08-12T21:11:32+00:00
2986;0.27;2023-07-20T08:20:00+00:00
