chicken_price_id;discount;valid_until
664;5.06;2023-06-23T21:02:24+00:00
666;2.33;2023-07-13T13:45:51+00:00
669;3.56;2023-07-03T06:27:41+00:00
671;6.74;2023-08-07T16:23:54+00:00
673;5.36;2023-08-19T08:06:32+00:00
687;1.59;2023-09-18T23:56:10+00:00
689;3.57;2023-05-04T11:00:29+00:00
690;2.34;2023-11-30T20:18:01+00:00
718;4.85;2023-06-07T02:18:47+00:00
719;1.42;2023-08-20T15:40:38+00:00
725;4.61;2023-10-09T03:01:14+00:00
727;3.17;2023-07-04T08:06:47+00:00
733;2.52;2023-05-26T12:28:22+00:00
736;3.49;2023-11-27T13:08:57+00:00
739;2.72;2023-09-13T12:40:04+00:00
743;1.48;2023-10-24T16:40:39+00:00
745;2.28;2023-07-09T02:10:57+00:00
757;1.44;2023-09-16T12:17:24+00:00
760;4.36;2023-11-08T01:35:05+00:00
761;3.21;2023-06-01T21:53:35+00:00
763;2.55;2023-09-10T18:16:01+00:00
767;2.96;2023-11-12T12:33:27+00:00
768;4.67;2023-06-09T17:27:01+00:00
775;3.55;2023-11-02T20:16:44+00:00
777;2.31;2023-06-23T07:38:20+00:00
780;5.32;2023-08-11T16:15:42+00:00
781;4.21;2023-05-16T02:24:08+00:00
789;2.08;2023-08-23T05:40:03+00:00
792;4.23;2023-11-14T13:11:35+00:00
793;1.05;2023-08-01T07:16:11+00:00
796;6.76;2023-08-07T00:40:10+00:00
815;3.48;2023-06-20T19:16:27+00:00
821;1.5;2023-09-24T15:34:57+00:00
824;4.2;2023-08-01T00:34:38+00:00
832;4.9;2023-10-18T13:39:36+00:00
852;4.71;2023-11-18T18:45:50+00:00
854;4.42;2023-09-19T01:38:38+00:00
859;4.56;2023-11-30T02:58:41+00:00
868;3.01;2023-07-04T19:36:49+00:00
878;1.02;2023-11-01T07:13:01+00:00
882;1.53;2023-11-10T07:13:57+00:00
885;1.4;2023-10-01T15:30:05+00:00
899;5.92;2023-11-11T18:38:16+00:00
902;5.85;2023-05-31T10:35:25+00:00
904;4.07;2023-06-08T15:48:47+00:00
906;1.52;2023-10-24T17:53:33+00:00
909;2.01;2023-08-26T00:52:33+00:00
912;1.39;2023-06-11T17:21:06+00:00
919;3.72;2023-05-05T19:11:59+00:00
925;6.42;2023-09-17T22:11:59+00:00
932;1.38;2023-05-03T04:31:30+00:00
934;4.43;2023-05-31T21:26:07+00:00
935;1.29;2023-07-13T12:00:09+00:00
955;3.07;2023-09-01T16:00:25+00:00
959;5.33;2023-06-15T11:41:58+00:00
963;2.78;2023-11-02T22:34:44+00:00
967;4.11;2023-10-04T01:33:44+00:00
975;1.33;2023-07-12T14:15:07+00:00
980;3.26;2023-09-01T11:59:24+00:00
982;4.34;2023-11-23T04:40:20+00:00
985;1.48;2023-06-11T03:51:08+00:00
994;4.06;2023-08-19T19:44:30+00:00
996;1.61;2023-05-07T09:30:55+00:00
1002;4.29;2023-09-13T15:09:25+00:00
1010;5.0;2023-07-15T01:19:59+00:00
1013;4.24;2023-05-14T11:32:32+00:00
1014;2.65;2023-08-05T20:20:06+00:00
1015;3.33;2023-05-02T23:35:06+00:00
1016;1.2;2023-09-26T05:12:11+00:00
1017;3.13;2023-06-13T22:12:18+00:00
1020;3.17;2023-08-13T21:40:55+00:00
1022;3.22;2023-11-26T17:51:08+00:00
1031;6.27;2023-12-01T09:55:09+00:00
1047;6.35;2023-08-01T22:50:56+00:00
1050;2.88;2023-07-03T20:22:03+00:00
1051;1.7;2023-05-04T18:07:12+00:00
1062;5.07;2023-10-12T08:09:10+00:00
1063;1.04;2023-05-29T14:36:40+00:00
1066;2.41;2023-06-19T18:07:11+00:00
1070;6.44;2023-07-12T12:00:56+00:00
1071;6.72;2023-05-10T16:19:49+00:00
1073;2.38;2023-05-09T19:48:07+00:00
1091;3.25;2023-11-16T21:53:52+00:00
1092;6.34;2023-07-16T19:34:23+00:00
1096;4.71;2023-07-22T01:44:09+00:00
1101;4.08;2023-06-05T19:59:32+00:00
1107;4.9;2023-07-03T17:52:21+00:00
1110;4.0;2023-10-27T06:53:17+00:00
1112;6.3;2023-07-11T12:00:57+00:00
1114;4.07;2023-06-05T17:43:26+00:00
1115;4.49;2023-08-25T21:43:04+00:00
1117;3.44;2023-05-29T07:11:53+00:00
1120;6.62;2023-10-15T14:53:48+00:00
1130;2.72;2023-06-03T07:49:54+00:00
1131;2.92;2023-06-01T06:41:11+00:00
1133;6.2;2023-07-02T00:40:58+00:00
1134;4.68;2023-09-24T13:29:19+00:00
1137;3.95;2023-05-11T06:31:22+00:00
1141;3.38;2023-10-04T17:15:01+00:00
1145;3.15;2023-07-14T21:33:19+00:00
1146;4.87;2023-07-02T03:52:02+00:00
1150;4.8;2023-06-18T05:26:44+00:00
1157;3.58;2023-09-26T10:53:00+00:00
1164;1.25;2023-05-31T21:59:35+00:00
1168;2.68;2023-07-12T06:41:49+00:00
1170;3.34;2023-11-01T23:36:48+00:00
1175;2.16;2023-08-15T08:42:39+00:00
1179;4.89;2023-08-24T19:03:04+00:00
1201;3.29;2023-06-02T06:08:44+00:00
1202;5.58;2023-06-24T04:10:40+00:00
1203;3.66;2023-06-05T18:53:10+00:00
1204;2.92;2023-06-11T01:43:04+00:00
1205;4.45;2023-11-15T11:56:28+00:00
1206;1.06;2023-07-05T19:04:59+00:00
1209;1.22;2023-05-16T00:26:56+00:00
1218;1.29;2023-05-05T12:23:09+00:00
1224;3.36;2023-09-15T08:54:57+00:00
1226;1.4;2023-07-22T01:10:18+00:00
1232;1.35;2023-06-14T17:12:17+00:00
1233;1.68;2023-06-07T10:39:21+00:00
1236;1.44;2023-08-15T05:12:34+00:00
1238;1.03;2023-07-25T18:53:46+00:00
1241;2.91;2023-07-28T09:08:38+00:00
1248;1.13;2023-09-02T19:12:21+00:00
1252;4.94;2023-07-29T12:09:52+00:00
1253;4.45;2023-07-20T23:27:59+00:00
1259;2.04;2023-07-20T02:49:40+00:00
1267;1.01;2023-05-12T11:35:27+00:00
1270;4.22;2023-05-18T12:44:24+00:00
1276;3.27;2023-11-10T16:30:15+00:00
1278;5.86;2023-10-26T03:01:52+00:00
1281;4.1;2023-10-03T22:58:18+00:00
1282;1.01;2023-09-30T19:50:25+00:00
1285;2.33;2023-11-01T12:01:04+00:00
1289;4.67;2023-10-21T17:30:40+00:00
1306;4.66;2023-10-13T11:33:29+00:00
1312;1.5;2023-11-04T07:54:00+00:00
1324;1.59;2023-11-25T19:31:59+00:00
1335;1.39;2023-11-27T07:11:56+00:00
1342;4.45;2023-09-30T23:48:05+00:00
1346;6.05;2023-07-05T12:45:18+00:00
1347;5.09;2023-11-28T18:36:20+00:00
1350;3.98;2023-07-23T00:24:33+00:00
1351;2.41;2023-05-31T21:39:54+00:00
1354;2.48;2023-05-02T17:36:18+00:00
1356;1.5;2023-09-21T10:28:24+00:00
1357;5.0;2023-08-21T11:53:03+00:00
1359;4.74;2023-11-19T10:28:47+00:00
1365;4.23;2023-05-25T16:03:39+00:00
1384;1.54;2023-05-10T13:55:27+00:00
1387;1.14;2023-11-01T22:22:16+00:00
1396;2.05;2023-11-02T10:32:08+00:00
1399;4.9;2023-09-24T04:30:45+00:00
1405;3.07;2023-06-30T21:15:46+00:00
1412;1.43;2023-06-17T23:47:09+00:00
1421;2.82;2023-05-30T00:47:50+00:00
1422;4.94;2023-08-02T14:49:43+00:00
1424;5.46;2023-06-10T00:27:28+00:00
1426;4.33;2023-09-17T23:18:57+00:00
1427;4.42;2023-08-04T12:35:35+00:00
1431;6.43;2023-11-02T17:52:27+00:00
1436;4.75;2023-05-21T10:58:02+00:00
1439;3.4;2023-09-18T03:29:55+00:00
1442;3.44;2023-08-10T04:48:41+00:00
1443;4.45;2023-09-21T22:38:11+00:00
1446;4.13;2023-09-29T01:06:59+00:00
1450;1.43;2023-08-26T15:56:13+00:00
1461;2.22;2023-06-10T14:10:37+00:00
1466;1.3;2023-10-20T16:00:22+00:00
1477;3.77;2023-06-06T15:05:02+00:00
1491;4.55;2023-10-21T04:54:28+00:00
1492;4.01;2023-06-10T11:42:32+00:00
1493;6.7;2023-05-01T07:24:11+00:00
1495;2.92;2023-07-13T15:42:16+00:00
1499;5.68;2023-05-19T07:34:27+00:00
1501;5.45;2023-08-10T16:44:50+00:00
1511;4.9;2023-06-27T04:18:47+00:00
1537;2.11;2023-10-12T16:34:05+00:00
1547;2.83;2023-11-30T14:01:27+00:00
1549;2.14;2023-10-16T01:03:31+00:00
1551;1.47;2023-10-03T23:53:25+00:00
1552;3.07;2023-09-26T19:09:33+00:00
1565;1.57;2023-06-13T12:18:22+00:00
1567;3.01;2023-07-12T01:14:41+00:00
1569;1.52;2023-11-22T16:26:29+00:00
1571;1.43;2023-05-16T14:15:32+00:00
1572;1.49;2023-07-15T16:53:45+00:00
1586;1.03;2023-10-06T17:02:11+00:00
1592;3.09;2023-06-02T18:28:56+00:00
1599;1.07;2023-05-02T20:07:44+00:00
1606;1.33;2023-05-12T12:54:31+00:00
1623;6.78;2023-10-19T16:06:21+00:00
1626;1.68;2023-08-30T19:26:24+00:00
1627;4.51;2023-07-30T03:44:20+00:00
1635;4.19;2023-09-27T15:51:22+00:00
1636;2.35;2023-06-29T04:59:10+00:00
1638;1.03;2023-06-30T21:13:24+00:00
1639;6.06;2023-05-09T12:02:56+00:00
1643;1.63;2023-10-02T00:11:18+00:00
1647;1.07;2023-09-30T17:30:18+00:00
1655;2.79;2023-08-13T08:42:19+00:00
1657;1.21;2023-08-25T02:47:20+00:00
1658;1.09;2023-05-31T16:06:48+00:00
1664;4.66;2023-08-26T11:11:45+00:00
1674;3.22;2023-07-07T16:14:15+00:00
1675;4.03;2023-09-03T17:52:19+00:00
1680;1.3;2023-06-08T13:00:28+00:00
1685;1.48;2023-09-17T22:48:08+00:00
1691;3.19;2023-09-18T15:04:23+00:00
1695;6.55;2023-09-13T22:00:20+00:00
1698;1.68;2023-05-08T21:55:50+00:00
1702;1.66;2023-11-04T13:57:38+00:00
1704;2.95;2023-09-22T06:30:11+00:00
1715;1.28;2023-11-22T20:41:14+00:00
1722;1.23;2023-08-24T13:07:02+00:00
1726;4.34;2023-05-30T22:23:43+00:00
1728;1.25;2023-07-13T18:05:38+00:00
1740;6.4;2023-08-15T22:16:44+00:00
1741;2.45;2023-10-20T01:52:14+00:00
1746;3.4;2023-08-25T12:06:03+00:00
1763;4.82;2023-05-25T07:10:26+00:00
1764;1.61;2023-09-05T01:25:14+00:00
1774;5.78;2023-10-14T15:26:13+00:00
1782;4.57;2023-08-29T05:19:20+00:00
1784;2.58;2023-10-20T15:09:00+00:00
1785;3.2;2023-05-30T08:06:00+00:00
1786;2.87;2023-06-28T15:19:47+00:00
1787;1.7;2023-09-25T08:20:07+00:00
1788;2.51;2023-09-04T11:36:08+00:00
1798;2.33;2023-09-26T14:36:55+00:00
1802;1.64;2023-11-30T21:46:27+00:00
1806;1.23;2023-06-29T03:07:58+00:00
1807;5.07;2023-11-13T11:31:17+00:00
1809;1.05;2023-11-23T07:46:30+00:00
1814;5.05;2023-08-05T01:26:29+00:00
1815;4.29;2023-08-24T01:50:03+00:00
1818;4.66;2023-08-09T12:36:39+00:00
1839;4.7;2023-06-16T21:51:51+00:00
1845;6.62;2023-08-09T18:29:48+00:00
1848;2.58;2023-07-02T22:20:41+00:00
1851;1.66;2023-08-22T17:46:03+00:00
1859;1.13;2023-08-20T04:17:27+00:00
1862;2.5;2023-09-30T11:17:29+00:00
1865;1.0;2023-05-09T06:14:07+00:00
1870;1.23;2023-05-26T05:55:07+00:00
1882;1.04;2023-06-06T19:26:44+00:00
1886;1.51;2023-06-25T22:22:56+00:00
1889;6.19;2023-09-28T21:49:01+00:00
1891;5.01;2023-05-23T20:50:10+00:00
1893;1.46;2023-07-07T15:01:32+00:00
1900;2.39;2023-08-13T07:42:57+00:00
1902;1.06;2023-07-23T21:24:44+00:00
1903;1.21;2023-10-30T23:21:27+00:00
1905;3.47;2023-09-06T12:05:18+00:00
1908;3.29;2023-05-06T07:32:19+00:00
1911;1.41;2023-11-01T21:02:33+00:00
1916;4.24;2023-06-03T09:47:26+00:00
1920;1.66;2023-10-30T14:22:44+00:00
1922;4.14;2023-08-05T07:41:15+00:00
1928;1.33;2023-07-15T23:39:00+00:00
1931;4.63;2023-09-03T01:47:17+00:00
1939;6.33;2023-08-29T02:17:38+00:00
1940;2.57;2023-06-19T22:08:43+00:00
1943;6.08;2023-07-01T05:45:31+00:00
1947;4.53;2023-08-29T13:23:24+00:00
1950;5.36;2023-08-24T08:29:47+00:00
1953;4.76;2023-06-25T03:01:42+00:00
1960;3.8;2023-08-04T12:31:37+00:00
1980;4.94;2023-10-09T09:55:23+00:00
1985;2.93;2023-07-01T21:12:10+00:00
1987;4.71;2023-10-23T19:07:11+00:00
1995;2.77;2023-09-17T04:59:45+00:00
1998;3.65;2023-07-26T05:44:59+00:00
2003;2.21;2023-08-19T17:35:49+00:00
2006;4.54;2023-10-07T21:42:10+00:00
2007;4.29;2023-10-07T08:21:18+00:00
2012;4.31;2023-09-28T20:25:21+00:00
2017;1.4;2023-08-17T20:03:22+00:00
2021;1.5;2023-10-20T15:57:58+00:00
2023;2.58;2023-11-17T14:30:10+00:00
2024;4.49;2023-05-04T20:34:56+00:00
2027;5.13;2023-06-26T11:52:22+00:00
2035;4.37;2023-09-08T11:32:03+00:00
2037;6.38;2023-09-23T01:30:41+00:00
2041;4.35;2023-05-30T16:50:57+00:00
2043;1.52;2023-05-27T17:47:31+00:00
2058;1.65;2023-07-18T18:15:06+00:00
2062;1.56;2023-09-05T21:29:55+00:00
2063;3.03;2023-10-13T03:09:38+00:00
2066;3.5;2023-05-29T19:34:04+00:00
2072;1.65;2023-08-08T00:36:42+00:00
2073;4.24;2023-07-21T12:14:47+00:00
2078;1.18;2023-06-22T20:04:05+00:00
2081;2.5;2023-05-15T15:12:06+00:00
2091;4.11;2023-09-23T15:53:39+00:00
2094;1.17;2023-09-18T17:19:50+00:00
2100;1.34;2023-05-30T12:02:19+00:00
2101;4.37;2023-08-26T10:29:35+00:00
2109;4.66;2023-10-04T15:15:54+00:00
2110;4.28;2023-10-28T00:59:25+00:00
2111;1.17;2023-10-11T04:30:28+00:00
2122;2.3;2023-08-13T11:13:45+00:00
2123;4.05;2023-08-13T00:56:13+00:00
2126;2.82;2023-06-09T06:50:37+00:00
2127;3.28;2023-10-26T00:05:10+00:00
2128;1.67;2023-09-29T13:59:49+00:00
2131;3.3;2023-05-22T10:34:41+00:00
2132;5.84;2023-09-14T09:13:04+00:00
2133;3.73;2023-07-22T16:01:21+00:00
2141;2.99;2023-05-27T00:47:33+00:00
2142;3.01;2023-09-08T08:29:58+00:00
2143;3.14;2023-06-05T22:16:02+00:00
2144;1.49;2023-11-16T02:07:16+00:00
2145;1.48;2023-08-30T04:28:51+00:00
2148;4.52;2023-06-08T08:48:32+00:00
2150;5.34;2023-07-16T10:31:47+00:00
2151;6.59;2023-06-02T00:30:12+00:00
2154;4.07;2023-05-11T15:17:26+00:00
2163;2.66;2023-07-17T11:14:51+00:00
2180;1.26;2023-11-04T19:38:35+00:00
2182;4.4;2023-07-29T02:06:04+00:00
2186;2.88;2023-11-27T19:34:28+00:00
2191;1.6;2023-08-24T13:39:58+00:00
2197;1.3;2023-05-18T15:03:07+00:00
2203;4.6;2023-11-28T04:06:16+00:00
2208;3.0;2023-08-11T13:20:30+00:00
2209;5.38;2023-08-08T01:38:53+00:00
2212;4.24;2023-11-04T16:57:45+00:00
2217;2.0;2023-09-30T22:10:26+00:00
2219;4.0;2023-05-24T01:10:20+00:00
2226;4.58;2023-07-13T09:48:20+00:00
2229;1.53;2023-09-03T22:22:35+00:00
2234;5.16;2023-05-18T01:44:03+00:00
2235;4.99;2023-09-20T06:31:30+00:00
2242;4.66;2023-08-04T21:20:35+00:00
2244;1.53;2023-08-18T06:44:08+00:00
2250;2.05;2023-09-26T02:03:13+00:00
2254;1.13;2023-05-24T07:03:09+00:00
2257;2.02;2023-11-27T22:04:45+00:00
2267;1.51;2023-10-29T17:01:51+00:00
2268;4.14;2023-08-06T00:31:24+00:00
2275;4.03;2023-05-25T05:23:25+00:00
2276;1.59;2023-07-10T02:34:08+00:00
2277;3.63;2023-06-13T17:33:00+00:00
2278;2.16;2023-10-06T10:26:48+00:00
2285;1.17;2023-05-21T22:16:02+00:00
2291;4.24;2023-09-20T00:54:35+00:00
2295;1.64;2023-07-21T21:30:56+00:00
2299;6.12;2023-06-11T20:14:49+00:00
2300;2.24;2023-09-13T02:41:10+00:00
2303;3.32;2023-07-30T12:31:42+00:00
2304;3.91;2023-09-03T18:33:24+00:00
2309;1.48;2023-07-15T20:13:39+00:00
2310;6.22;2023-08-29T21:15:37+00:00
2311;1.08;2023-09-25T22:59:20+00:00
2319;2.26;2023-11-29T14:08:11+00:00
2320;5.06;2023-05-04T08:54:40+00:00
2324;4.63;2023-10-13T21:24:52+00:00
2326;5.49;2023-10-06T21:56:26+00:00
2327;1.36;2023-10-31T03:59:41+00:00
2330;3.09;2023-08-30T00:42:26+00:00
2337;1.43;2023-08-12T06:01:56+00:00
2343;3.58;2023-11-07T07:39:43+00:00
2344;4.56;2023-11-16T06:02:57+00:00
2346;6.09;2023-11-14T12:57:16+00:00
2347;6.38;2023-08-31T21:27:01+00:00
2352;4.41;2023-06-16T12:26:22+00:00
2356;2.33;2023-11-19T19:46:41+00:00
2359;1.19;2023-07-10T00:44:20+00:00
2360;3.05;2023-10-11T16:55:49+00:00
2364;3.66;2023-10-24T21:49:46+00:00
2370;2.81;2023-08-19T15:29:54+00:00
2371;1.58;2023-11-18T20:59:49+00:00
2372;2.33;2023-06-28T07:36:43+00:00
2381;1.69;2023-08-24T23:45:08+00:00
2383;1.33;2023-08-01T22:21:17+00:00
2386;2.26;2023-06-24T22:29:35+00:00
2408;6.38;2023-08-01T05:52:46+00:00
2426;2.8;2023-11-11T14:17:40+00:00
2435;4.34;2023-07-27T02:41:18+00:00
2438;2.81;2023-06-04T01:52:27+00:00
2442;4.18;2023-08-17T15:03:16+00:00
2445;2.26;2023-07-12T02:19:06+00:00
2446;6.26;2023-10-28T01:54:29+00:00
2448;3.16;2023-10-24T01:08:10+00:00
2450;6.31;2023-06-01T01:48:32+00:00
2451;4.22;2023-06-02T06:10:55+00:00
2452;4.77;2023-11-13T08:32:56+00:00
2456;4.78;2023-08-03T21:07:49+00:00
2462;5.58;2023-06-12T16:53:50+00:00
2468;2.22;2023-05-18T19:13:52+00:00
2471;5.83;2023-08-11T19:13:06+00:00
2480;2.99;2023-11-21T06:34:27+00:00
2482;4.98;2023-08-22T05:06:01+00:00
2487;4.86;2023-10-13T03:27:21+00:00
2490;2.79;2023-06-01T06:50:45+00:00
2500;5.9;2023-05-04T22:34:55+00:00
2509;3.88;2023-06-20T18:38:39+00:00
2519;2.57;2023-11-30T05:16:48+00:00
2521;6.16;2023-08-10T11:04:13+00:00
2522;1.35;2023-08-16T10:39:12+00:00
2530;3.02;2023-10-02T06:20:08+00:00
2535;6.53;2023-09-05T13:41:11+00:00
2536;2.69;2023-10-29T22:45:44+00:00
2538;1.66;2023-10-29T15:14:17+00:00
2539;3.84;2023-07-24T23:17:14+00:00
2542;1.48;2023-11-08T13:25:32+00:00
2546;4.16;2023-08-20T14:46:15+00:00
2548;5.11;2023-08-07T23:49:26+00:00
2569;1.61;2023-10-22T08:43:48+00:00
2575;3.24;2023-05-12T22:31:01+00:00
2579;1.59;2023-08-10T20:39:47+00:00
2580;6.72;2023-07-18T13:55:43+00:00
2590;3.77;2023-08-24T19:09:04+00:00
2591;5.39;2023-08-13T16:53:22+00:00
2594;5.9;2023-07-08T10:37:04+00:00
2596;5.72;2023-06-02T18:34:41+00:00
2598;5.81;2023-11-28T13:14:00+00:00
2617;6.79;2023-06-25T14:48:10+00:00
2621;4.3;2023-10-21T16:41:04+00:00
2639;1.2;2023-05-23T08:07:32+00:00
2640;3.89;2023-09-07T23:42:28+00:00
2643;1.21;2023-07-13T03:49:13+00:00
2644;5.31;2023-09-05T21:30:40+00:00
2650;5.05;2023-06-01T11:26:48+00:00
2651;1.07;2023-05-05T00:53:32+00:00
2654;1.03;2023-09-22T07:59:27+00:00
2658;4.71;2023-09-06T08:02:29+00:00
2659;1.29;2023-10-26T18:20:04+00:00
2678;3.37;2023-11-25T06:32:38+00:00
2685;3.2;2023-09-21T01:27:21+00:00
2686;6.44;2023-09-19T11:23:47+00:00
2689;4.24;2023-06-10T07:12:58+00:00
2693;4.2;2023-11-11T18:04:33+00:00
2697;2.67;2023-07-14T00:54:50+00:00
2701;3.32;2023-07-27T23:32:28+00:00
2705;2.12;2023-10-27T20:50:03+00:00
2711;4.64;2023-06-02T10:50:26+00:00
2713;1.25;2023-09-15T12:33:52+00:00
2714;4.41;2023-07-30T17:08:01+00:00
2719;3.06;2023-05-01T01:35:51+00:00
2723;2.55;2023-08-09T19:39:30+00:00
2726;2.05;2023-10-31T01:03:39+00:00
2737;1.1;2023-10-24T10:22:21+00:00
2740;1.08;2023-10-26T22:57:44+00:00
2761;2.73;2023-08-18T20:17:10+00:00
2763;3.96;2023-06-18T11:20:07+00:00
2764;1.29;2023-07-12T02:55:41+00:00
2770;4.51;2023-07-11T06:14:49+00:00
2773;2.33;2023-08-08T01:33:35+00:00
2782;6.76;2023-11-06T14:03:12+00:00
2789;5.92;2023-09-26T07:04:34+00:00
2793;2.69;2023-07-22T13:06:07+00:00
2797;4.63;2023-06-13T13:24:55+00:00
